Order ID,Order Date,Delivery Date,Store ID,Store Type,Region,City,State,Postal Code,Customer ID,Customer Name,Loyalty Member,Transaction Channel,Payment Method,Product ID,Category,Sub-Category,Product Name,Quantity,Unit Price,Sales,Discount,Profit,Supplier
OR-100034,2023-10-09,2023-10-15,ST-709,Express,Central,San Antonio,State San,10384,CU-85880,Customer 1123,No,Click & Collect,Credit Card,PR-803286,Groceries,Beverages,Beverages Item 341,9,145.5,1309.5,0.1,250.81,Distributor X
OR-100035,2024-07-18,2024-07-22,ST-150,Supercenter,North,Houston,State Houston,31949,CU-63932,Customer 717,No,In-Store,Mobile Wallet,PR-399888,Pharmacy,First Aid,First Aid Item 485,3,37.48,112.44,0.0,5.59,Local Farm
OR-100036,2023-04-28,2023-04-30,ST-833,Express,Central,New York,State New,63871,CU-47626,Customer 1849,No,In-Store,Credit Card,PR-926196,Household,Paper Products,Paper Products Item 438,2,127.9,255.8,0.0,38.12,Supplier C
OR-100037,2023-04-08,2023-04-09,ST-434,Supercenter,Central,Los Angeles,State Los,53088,CU-80173,Customer 759,No,In-Store,Mobile Wallet,PR-465340,Household,Paper Products,Paper Products Item 306,3,135.67,407.01,0.0,56.26,Supplier A
OR-100038,2023-02-22,2023-02-23,ST-473,Convenience,East,Houston,State Houston,51240,CU-32415,Customer 1544,No,In-Store,Debit Card,PR-314879,Pharmacy,Vitamins,Vitamins Item 262,3,80.82,242.46,0.0,37.46,Supplier B
OR-100039,2024-08-26,2024-08-27,ST-445,Express,North,Philadelphia,State Philadelphia,91818,CU-61745,Customer 1969,No,In-Store,Cash,PR-123321,Pharmacy,OTC Medicines,OTC Medicines Item 466,6,13.76,82.56,0.0,10.4,Supplier C
OR-100040,2023-01-08,2023-01-08,ST-825,Neighborhood,South,Houston,State Houston,83686,CU-18717,Customer 474,Yes,Online,Credit Card,PR-772108,Household,Plasticware,Plasticware Item 257,3,28.09,84.27,0.0,8.87,Supplier C
OR-100041,2023-10-01,2023-10-02,ST-584,Convenience,South,San Antonio,State San,60448,CU-20267,Customer 714,Yes,In-Store,Mobile Wallet,PR-870173,Personal Care,Oral Care,Oral Care Item 493,6,80.13,480.78,0.0,39.39,Distributor X
OR-100042,2023-05-26,2023-06-01,ST-468,Express,West,Los Angeles,State Los,70004,CU-33275,Customer 595,No,In-Store,Mobile Wallet,PR-809913,Personal Care,Toiletries,Toiletries Item 109,4,80.8,323.2,0.0,61.88,Supplier C
OR-100043,2023-10-04,2023-10-09,ST-929,Express,North,San Diego,State San,37446,CU-86125,Customer 1631,No,In-Store,Debit Card,PR-768406,Groceries,Frozen,Frozen Item 150,6,37.27,223.62,0.0,14.07,Distributor X
OR-100044,2023-03-16,2023-03-19,ST-673,Supercenter,South,Chicago,State Chicago,89239,CU-63441,Customer 847,No,In-Store,Cash,PR-932946,Household,Plasticware,Plasticware Item 220,6,146.27,877.62,0.0,163.47,Supplier B
OR-100045,2023-05-20,2023-05-26,ST-238,Supercenter,North,Phoenix,State Phoenix,57362,CU-42254,Customer 1892,No,Click & Collect,Credit Card,PR-485925,Groceries,Bakery,Bakery Item 113,1,91.79,91.79,0.0,14.11,Distributor X
OR-100046,2023-11-17,2023-11-23,ST-649,Supercenter,North,Philadelphia,State Philadelphia,52078,CU-36614,Customer 1443,No,In-Store,Credit Card,PR-707812,Pharmacy,Vitamins,Vitamins Item 84,5,0.91,4.55,0.0,0.59,Supplier B
OR-100047,2024-06-30,2024-06-30,ST-878,Convenience,East,Philadelphia,State Philadelphia,40523,CU-51832,Customer 1253,No,Online,Cash,PR-973172,Groceries,Dairy,Dairy Item 76,8,108.38,867.04,0.0,173.19,Supplier C
OR-100048,2023-03-30,2023-03-31,ST-736,Convenience,North,San Antonio,State San,28574,CU-82101,Customer 1889,No,Online,Cash,PR-250168,Groceries,Frozen,Frozen Item 42,8,68.07,544.56,0.05,117.39,Supplier B
OR-100049,2023-07-17,2023-07-22,ST-114,Neighborhood,East,Houston,State Houston,35053,CU-81324,Customer 1313,Yes,Online,Cash,PR-198723,Personal Care,Oral Care,Oral Care Item 435,3,94.34,283.02,0.0,14.73,Supplier A
OR-100050,2024-06-05,2024-06-09,ST-976,Neighborhood,Central,San Diego,State San,30103,CU-81895,Customer 948,No,In-Store,Debit Card,PR-226108,Groceries,Bakery,Bakery Item 86,1,15.89,15.89,0.0,1.7,Distributor X
OR-100051,2023-10-10,2023-10-14,ST-811,Convenience,East,Los Angeles,State Los,86077,CU-65318,Customer 815,No,In-Store,Credit Card,PR-233515,Personal Care,Hair Care,Hair Care Item 292,4,27.65,110.6,0.15,14.49,Supplier B
OR-100052,2023-12-22,2023-12-25,ST-703,Supercenter,Central,New York,State New,96066,CU-75310,Customer 1402,No,Click & Collect,Cash,PR-275399,Electronics,Gadgets,Gadgets Item 460,5,138.41,692.05,0.05,36.21,Supplier A
OR-100053,2023-01-01,2023-01-07,ST-408,Supercenter,East,New York,State New,23224,CU-67545,Customer 1460,No,In-Store,Cash,PR-950163,Electronics,Small Appliances,Small Appliances Item 471,6,78.07,468.42,0.0,52.36,Supplier B
OR-100054,2023-06-28,2023-07-03,ST-260,Express,South,Chicago,State Chicago,14757,CU-47148,Customer 63,No,In-Store,Credit Card,PR-765755,Personal Care,Toiletries,Toiletries Item 128,8,86.86,694.88,0.0,19.31,Supplier A
OR-100055,2023-12-26,2023-12-26,ST-990,Supercenter,Central,Philadelphia,State Philadelphia,12079,CU-43719,Customer 723,No,Online,Cash,PR-841804,Electronics,Gadgets,Gadgets Item 189,7,89.51,626.57,0.0,120.61,Supplier C
OR-100056,2023-04-23,2023-04-24,ST-154,Neighborhood,South,San Diego,State San,85629,CU-50806,Customer 1667,Yes,Online,Cash,PR-283675,Household,Paper Products,Paper Products Item 476,6,114.92,689.52,0.0,66.82,Local Farm
OR-100057,2024-03-18,2024-03-24,ST-708,Express,East,San Diego,State San,74929,CU-95595,Customer 1007,No,Click & Collect,Mobile Wallet,PR-134911,Groceries,Fresh Produce,Fresh Produce Item 247,8,16.06,128.48,0.1,7.06,Supplier C
OR-100058,2023-01-07,2023-01-08,ST-647,Neighborhood,North,Los Angeles,State Los,18705,CU-60460,Customer 700,Yes,In-Store,Cash,PR-360910,Pharmacy,Vitamins,Vitamins Item 223,7,110.52,773.64,0.1,33.59,Supplier B
OR-100059,2023-09-13,2023-09-18,ST-953,Supercenter,East,New York,State New,58285,CU-27771,Customer 1304,No,In-Store,Debit Card,PR-190093,Electronics,Batteries,Batteries Item 293,9,65.7,591.3,0.0,140.81,Supplier A
OR-100060,2023-10-08,2023-10-14,ST-541,Convenience,East,San Antonio,State San,84532,CU-86908,Customer 610,No,In-Store,Credit Card,PR-418277,Groceries,Dairy,Dairy Item 237,9,21.33,191.97,0.1,42.57,Supplier B
OR-100061,2024-01-13,2024-01-16,ST-386,Supercenter,North,San Diego,State San,56828,CU-92565,Customer 731,No,In-Store,Debit Card,PR-672212,Groceries,Frozen,Frozen Item 153,7,16.43,115.01,0.0,9.28,Supplier A
OR-100062,2023-05-10,2023-05-13,ST-893,Express,West,Chicago,State Chicago,99599,CU-63276,Customer 149,Yes,In-Store,Debit Card,PR-322320,Household,Paper Products,Paper Products Item 64,6,110.84,665.04,0.0,105.56,Supplier C
OR-100063,2024-07-01,2024-07-07,ST-606,Supercenter,South,New York,State New,42921,CU-55420,Customer 482,Yes,In-Store,Cash,PR-756884,Pharmacy,OTC Medicines,OTC Medicines Item 250,4,24.72,98.88,0.1,19.1,Supplier A
OR-100064,2023-05-11,2023-05-12,ST-623,Supercenter,North,Houston,State Houston,79626,CU-61474,Customer 1637,No,In-Store,Cash,PR-528988,Household,Cleaning Supplies,Cleaning Supplies Item 39,5,0.85,4.25,0.2,0.07,Supplier A
OR-100065,2024-10-22,2024-10-22,ST-565,Convenience,South,San Antonio,State San,37935,CU-72552,Customer 1292,No,Online,Debit Card,PR-653999,Personal Care,Hair Care,Hair Care Item 479,7,108.75,761.25,0.05,177.57,Supplier B
OR-100066,2024-05-12,2024-05-14,ST-501,Convenience,East,San Antonio,State San,97312,CU-27850,Customer 1514,No,In-Store,Mobile Wallet,PR-659723,Pharmacy,First Aid,First Aid Item 137,7,119.4,835.8,0.05,25.9,Supplier C
OR-100067,2024-05-11,2024-05-14,ST-525,Convenience,East,Los Angeles,State Los,84038,CU-84859,Customer 894,Yes,Click & Collect,Credit Card,PR-559297,Electronics,Gadgets,Gadgets Item 15,6,48.15,288.9,0.05,61.42,Distributor X
OR-100068,2023-01-29,2023-02-03,ST-539,Supercenter,West,New York,State New,60072,CU-93691,Customer 1263,Yes,In-Store,Cash,PR-243748,Personal Care,Oral Care,Oral Care Item 39,1,60.59,60.59,0.0,9.96,Supplier C
OR-100069,2023-10-20,2023-10-20,ST-988,Express,Central,Houston,State Houston,53001,CU-99431,Customer 964,No,Click & Collect,Debit Card,PR-931460,Household,Plasticware,Plasticware Item 146,1,136.6,136.6,0.0,6.17,Supplier C
OR-100070,2024-10-21,2024-10-25,ST-325,Express,Central,Los Angeles,State Los,65554,CU-92856,Customer 753,Yes,Click & Collect,Debit Card,PR-698069,Electronics,Gadgets,Gadgets Item 72,6,91.36,548.16,0.0,40.05,Supplier A
OR-100071,2024-02-23,2024-02-24,ST-880,Neighborhood,North,San Antonio,State San,70504,CU-17287,Customer 893,No,In-Store,Credit Card,PR-727267,Pharmacy,First Aid,First Aid Item 490,2,104.56,209.12,0.0,43.42,Supplier C
OR-100072,2023-07-14,2023-07-14,ST-360,Supercenter,West,Los Angeles,State Los,35559,CU-68762,Customer 955,Yes,In-Store,Credit Card,PR-658030,Electronics,Batteries,Batteries Item 137,2,129.39,258.78,0.1,39.76,Distributor X
OR-100073,2024-08-15,2024-08-16,ST-422,Neighborhood,East,Los Angeles,State Los,81719,CU-11591,Customer 1064,No,In-Store,Cash,PR-884108,Pharmacy,OTC Medicines,OTC Medicines Item 284,8,132.49,1059.92,0.0,242.19,Supplier C
OR-100074,2023-12-29,2024-01-02,ST-799,Supercenter,South,Chicago,State Chicago,59708,CU-32534,Customer 133,No,In-Store,Debit Card,PR-692632,Personal Care,Oral Care,Oral Care Item 304,9,139.55,1255.95,0.0,227.04,Supplier B
OR-100075,2024-08-11,2024-08-15,ST-332,Neighborhood,West,San Antonio,State San,82545,CU-44832,Customer 360,No,In-Store,Mobile Wallet,PR-268383,Household,Plasticware,Plasticware Item 258,7,29.37,205.59,0.0,19.55,Supplier C
OR-100076,2024-07-25,2024-07-31,ST-341,Supercenter,West,San Diego,State San,60192,CU-17491,Customer 731,No,Online,Credit Card,PR-426032,Household,Cookware,Cookware Item 412,5,15.83,79.15,0.15,11.99,Supplier B
OR-100077,2024-01-16,2024-01-19,ST-558,Neighborhood,South,Los Angeles,State Los,36029,CU-39241,Customer 1562,No,In-Store,Mobile Wallet,PR-332732,Pharmacy,First Aid,First Aid Item 227,7,10.31,72.17,0.1,6.85,Distributor X
OR-100078,2023-05-10,2023-05-16,ST-847,Supercenter,Central,San Antonio,State San,91871,CU-43756,Customer 21,No,In-Store,Mobile Wallet,PR-521818,Pharmacy,OTC Medicines,OTC Medicines Item 75,4,98.35,393.4,0.0,93.9,Supplier A
OR-100079,2024-06-10,2024-06-11,ST-370,Neighborhood,North,Chicago,State Chicago,31563,CU-33019,Customer 208,Yes,Online,Cash,PR-529660,Household,Plasticware,Plasticware Item 422,3,5.15,15.45,0.05,1.54,Supplier C
OR-100080,2024-06-19,2024-06-22,ST-554,Supercenter,West,Houston,State Houston,61027,CU-21536,Customer 1918,Yes,In-Store,Credit Card,PR-370856,Personal Care,Toiletries,Toiletries Item 448,3,28.23,84.69,0.0,1.72,Local Farm
OR-100081,2024-08-06,2024-08-08,ST-465,Supercenter,Central,San Diego,State San,16154,CU-72046,Customer 166,No,In-Store,Mobile Wallet,PR-164288,Pharmacy,Vitamins,Vitamins Item 344,1,2.24,2.24,0.0,0.25,Supplier C
OR-100082,2023-02-15,2023-02-21,ST-341,Supercenter,North,Los Angeles,State Los,16368,CU-73483,Customer 1889,Yes,In-Store,Cash,PR-998792,Groceries,Bakery,Bakery Item 377,6,92.91,557.46,0.05,78.76,Distributor X
OR-100083,2023-03-31,2023-04-05,ST-971,Neighborhood,North,Chicago,State Chicago,59786,CU-81626,Customer 317,Yes,Online,Cash,PR-860581,Household,Paper Products,Paper Products Item 359,2,123.31,246.62,0.0,42.96,Supplier A
OR-100084,2023-03-25,2023-03-30,ST-121,Supercenter,North,Chicago,State Chicago,66446,CU-84137,Customer 895,No,In-Store,Credit Card,PR-877915,Household,Plasticware,Plasticware Item 318,7,99.29,695.03,0.0,109.41,Supplier B
OR-100085,2023-08-31,2023-09-01,ST-730,Express,South,San Diego,State San,99899,CU-12356,Customer 695,No,Click & Collect,Credit Card,PR-568933,Pharmacy,OTC Medicines,OTC Medicines Item 301,3,146.39,439.17,0.0,27.18,Distributor X
OR-100086,2023-02-04,2023-02-08,ST-961,Neighborhood,Central,San Diego,State San,84131,CU-69321,Customer 957,No,In-Store,Credit Card,PR-912395,Personal Care,Hair Care,Hair Care Item 202,6,5.08,30.48,0.0,3.85,Supplier B
OR-100087,2024-05-26,2024-05-29,ST-854,Neighborhood,West,Philadelphia,State Philadelphia,96652,CU-27778,Customer 186,No,In-Store,Cash,PR-349474,Electronics,Small Appliances,Small Appliances Item 117,2,89.86,179.72,0.1,27.6,Distributor X
OR-100088,2023-10-25,2023-10-28,ST-417,Supercenter,North,Phoenix,State Phoenix,80135,CU-60677,Customer 1852,Yes,Click & Collect,Credit Card,PR-201459,Electronics,Small Appliances,Small Appliances Item 87,2,27.56,55.12,0.1,6.61,Supplier A
OR-100089,2023-09-18,2023-09-24,ST-402,Supercenter,South,Philadelphia,State Philadelphia,92189,CU-62233,Customer 1731,No,In-Store,Credit Card,PR-302332,Household,Cookware,Cookware Item 229,1,116.13,116.13,0.0,28.23,Supplier A
OR-100090,2023-11-09,2023-11-14,ST-303,Supercenter,West,San Diego,State San,93310,CU-19847,Customer 1580,Yes,In-Store,Cash,PR-576410,Personal Care,Hair Care,Hair Care Item 1,4,57.21,228.84,0.05,22.19,Supplier B
OR-100091,2023-04-29,2023-05-01,ST-790,Supercenter,Central,Los Angeles,State Los,51235,CU-43997,Customer 1036,No,Click & Collect,Mobile Wallet,PR-790417,Household,Cleaning Supplies,Cleaning Supplies Item 1,6,27.41,164.46,0.0,7.2,Supplier B
OR-100092,2024-03-03,2024-03-08,ST-845,Express,Central,San Diego,State San,20225,CU-92811,Customer 375,No,In-Store,Debit Card,PR-747296,Personal Care,Skincare,Skincare Item 407,4,19.3,77.2,0.0,4.09,Distributor X
OR-100093,2024-02-18,2024-02-19,ST-687,Convenience,West,New York,State New,64061,CU-60138,Customer 1864,No,In-Store,Debit Card,PR-201376,Groceries,Dairy,Dairy Item 427,2,92.87,185.74,0.1,25.28,Distributor X
OR-100094,2024-07-28,2024-07-28,ST-688,Neighborhood,South,Chicago,State Chicago,35923,CU-95150,Customer 489,Yes,Online,Credit Card,PR-476188,Electronics,Small Appliances,Small Appliances Item 498,1,61.33,61.33,0.15,10.42,Supplier C
OR-100095,2023-11-27,2023-11-27,ST-164,Convenience,East,San Antonio,State San,19108,CU-37723,Customer 711,No,In-Store,Cash,PR-659931,Groceries,Beverages,Beverages Item 365,8,44.88,359.04,0.05,32.58,Supplier A
OR-100096,2024-09-13,2024-09-18,ST-915,Supercenter,West,Los Angeles,State Los,14760,CU-41348,Customer 1245,No,In-Store,Credit Card,PR-383780,Household,Cookware,Cookware Item 355,2,69.79,139.58,0.0,30.51,Local Farm
OR-100097,2024-03-02,2024-03-06,ST-223,Supercenter,East,Houston,State Houston,18906,CU-49310,Customer 793,No,In-Store,Mobile Wallet,PR-996782,Household,Plasticware,Plasticware Item 379,5,29.77,148.85,0.0,25.14,Supplier C
OR-100098,2024-10-30,2024-11-05,ST-101,Supercenter,East,Houston,State Houston,96365,CU-54976,Customer 589,No,In-Store,Debit Card,PR-854950,Pharmacy,Vitamins,Vitamins Item 27,3,87.35,262.05,0.0,48.49,Distributor X
OR-100099,2023-10-25,2023-10-28,ST-475,Supercenter,Central,San Antonio,State San,86666,CU-52668,Customer 1386,No,In-Store,Credit Card,PR-311830,Groceries,Dairy,Dairy Item 445,4,72.79,291.16,0.1,38.4,Local Farm
OR-100100,2024-09-24,2024-09-28,ST-679,Supercenter,South,Houston,State Houston,41910,CU-65826,Customer 1636,No,In-Store,Credit Card,PR-975352,Household,Plasticware,Plasticware Item 378,8,115.61,924.88,0.0,72.88,Supplier B
OR-100101,2023-08-14,2023-08-14,ST-518,Express,North,San Diego,State San,67993,CU-43755,Customer 1479,No,In-Store,Cash,PR-258285,Groceries,Beverages,Beverages Item 108,7,80.54,563.78,0.0,51.77,Supplier A
OR-100102,2024-07-07,2024-07-12,ST-401,Supercenter,South,Los Angeles,State Los,43893,CU-70946,Customer 1604,No,Online,Debit Card,PR-131007,Pharmacy,Vitamins,Vitamins Item 323,7,108.82,761.74,0.0,74.99,Local Farm
OR-100103,2023-12-19,2023-12-21,ST-741,Convenience,Central,Houston,State Houston,46378,CU-80587,Customer 517,No,In-Store,Credit Card,PR-749991,Personal Care,Toiletries,Toiletries Item 136,6,53.57,321.42,0.0,44.8,Supplier C
OR-100104,2023-05-10,2023-05-16,ST-215,Supercenter,Central,Los Angeles,State Los,70963,CU-10661,Customer 1836,No,In-Store,Cash,PR-142828,Personal Care,Skincare,Skincare Item 326,2,54.76,109.52,0.2,10.75,Supplier A
OR-100105,2024-02-04,2024-02-07,ST-447,Convenience,West,Philadelphia,State Philadelphia,72711,CU-65922,Customer 1128,No,In-Store,Cash,PR-118752,Groceries,Bakery,Bakery Item 145,8,119.42,955.36,0.15,60.07,Local Farm
OR-100106,2024-04-04,2024-04-09,ST-213,Supercenter,North,Los Angeles,State Los,40682,CU-94328,Customer 341,Yes,Click & Collect,Cash,PR-492136,Groceries,Frozen,Frozen Item 272,4,106.46,425.84,0.0,38.21,Local Farm
OR-100107,2024-02-23,2024-02-28,ST-660,Neighborhood,East,Los Angeles,State Los,97468,CU-22329,Customer 678,No,In-Store,Credit Card,PR-291703,Household,Cookware,Cookware Item 262,6,85.2,511.2,0.0,69.15,Supplier C
OR-100108,2024-07-31,2024-08-02,ST-365,Supercenter,North,New York,State New,73740,CU-15656,Customer 1986,No,Click & Collect,Debit Card,PR-743235,Groceries,Frozen,Frozen Item 163,2,33.93,67.86,0.2,8.24,Distributor X
OR-100109,2024-04-26,2024-04-30,ST-111,Supercenter,West,San Diego,State San,87452,CU-17967,Customer 128,Yes,In-Store,Cash,PR-351537,Groceries,Frozen,Frozen Item 117,2,76.16,152.32,0.0,5.85,Distributor X
OR-100110,2024-05-31,2024-06-02,ST-352,Supercenter,East,Chicago,State Chicago,54936,CU-35032,Customer 983,No,In-Store,Cash,PR-816948,Personal Care,Oral Care,Oral Care Item 499,2,69.24,138.48,0.0,34.46,Supplier C
OR-100111,2024-09-06,2024-09-06,ST-223,Supercenter,Central,Phoenix,State Phoenix,42371,CU-67009,Customer 1087,No,Click & Collect,Debit Card,PR-458918,Groceries,Bakery,Bakery Item 260,5,92.48,462.4,0.0,75.6,Distributor X
